mes,gen_biodiesel_GWh,gen_biogas_GWh,gen_biomasa_GWh,gen_eolico_GWh,gen_hidro_lte50mw_GWh,gen_solar_GWh,gen_renovable_total_GWh,demanda_MEM_GWh,ratio_renovable_pct
2012-05-01,8.287616196970001,0.7649239999999998,10.991943,29.294616000000005,104.614749,0.445724,154.39957219697,9616.01996,1.6056494562119235
2012-06-01,46.87485126951,3.478232,13.998417999999997,35.52264399999999,74.598413,0.6946269999999999,175.16718526951,10322.992760000001,1.6968643623219006
2012-07-01,59.28640019974001,3.395954000000001,15.892140000000003,39.177808,71.934683,0.8534550000000001,190.54044019974003,11071.743550000001,1.720961466811973
2012-08-01,43.638647970017004,2.9286670000000004,10.256797000000002,28.324239000000006,91.608616,0.929207,177.686173970017,10407.448099999998,1.7072981989698037
2012-09-01,2.0066396348700004,2.841751000000001,20.078034000000002,29.557145,118.44924300000001,1.010259,173.94307163487,9338.544990000002,1.8626356870490375
2012-10-01,0.36034930185,6.902033,18.97107599999999,26.054690000000004,139.09123800000003,1.054647,192.43403330185,9621.39494,2.000063758965184
2012-11-01,0.0,7.357680000000001,17.05025200000001,31.752798000000002,152.216533,1.0952780000000002,209.47254100000004,10041.020669999998,2.086167809870668
2012-12-01,0.01641394603,7.971476,7.921678999999999,37.109285,172.514054,1.202655,226.73556294602997,10811.34392,2.0972005388394854
2013-01-01,0.053414100226000016,7.893987000000001,6.398513,29.301506000000003,141.638261,1.0361259999999999,186.32180710022598,11128.767994999998,1.6742357032147475
2013-02-01,1.401093763686,7.648210000000001,5.933724,26.839623999999997,137.598403,1.027779,180.448833763686,9831.85461,1.835348883008818
2013-03-01,0.0849,9.011614000000002,6.338471,31.205430999999997,122.39384200000002,1.027955,170.062213,9756.83993,1.7430050530715229
2013-04-01,0.01333,8.388014,6.749385,21.588249,105.90492499999999,1.242176,143.886079,9298.36215,1.5474346629959985
2013-05-01,0.22047999999999998,9.381065,11.571625999999998,29.883364999999998,75.432259,1.221219,127.710014,10217.3202,1.249936495089975
2013-06-01,0.44697,9.167534000000002,15.330561999999999,34.973372999999995,51.294972000000016,1.0467970000000002,112.260208,10346.45131,1.0850117072652614
2013-07-01,0.0,10.502377,19.39637,35.428968,49.079873000000006,1.116183,115.52377100000001,11156.11958,1.0355192965760591
2013-08-01,0.0,9.771545,15.287736000000002,50.785667999999994,81.11968300000001,1.3612429999999998,158.325875,10902.74932,1.4521646820730534
2013-09-01,0.0,8.532627,16.642813999999998,38.965824999999995,115.29267000000002,1.308816,180.74275200000002,10191.467129999997,1.7734713726148286
2013-10-01,0.0,9.232040000000001,15.098433000000004,48.818601,122.597858,1.5641920000000002,197.311124,10047.31632,1.963819170371258
2013-11-01,0.0,9.62818,9.27977199999999,45.953744,129.146007,1.485586,195.493289,10011.00607,1.9527836426534102
2013-12-01,0.0,9.323934000000001,5.857330999999999,53.18503700000001,142.54210400000002,1.5734839999999999,212.48189000000002,12278.098,1.7305765925634413
2014-01-01,0.0,8.846178,5.880956000000002,50.816486,146.179983,1.58248,213.306083,12004.342368000012,1.7769076927413388
2014-02-01,0.0,8.281122,5.649642,47.90184000000001,112.965365,1.156126,175.95409500000002,9823.968201000016,1.7910694680596486
2014-03-01,0.0,8.765558,6.8032580000000005,52.36150800000001,149.989217,1.451011,219.370552,9789.798789000004,2.240807566407685
2014-04-01,0.0,8.054257,6.064667999999998,46.84634700000001,128.94114,1.1366530000000001,191.04306499999998,9595.374349999985,1.990991263410169
2014-05-01,0.9396570733,9.214200000000002,9.244470999999999,44.827419000000006,100.336155,1.001765,165.56366707330002,10409.105006000003,1.59056582653231
2014-06-01,0.4609819731900001,9.33254,10.422931000000002,45.484027999999995,69.081831,1.0087350000000002,135.79104697319,10901.714975999996,1.2455934435282199
2014-07-01,0.19485085245,9.257792999999998,5.002762,46.668171,77.599563,1.150642,139.87378185245,11363.94210200001,1.2308561641460032
2014-08-01,0.030762812065000002,8.754624,12.186152,56.506767999999994,105.677772,1.3338380000000003,184.48991681206502,10490.682388999994,1.7586074000821141
2014-09-01,0.0,8.210751000000002,17.219378,57.71753,128.151093,1.387123,212.685875,9807.544190999994,2.168594613065049
2014-10-01,0.0,8.722069999999999,16.23040299999999,50.160334999999996,135.402189,1.5298370000000001,212.04483399999998,10706.493141000015,1.9805255671250952
2014-11-01,0.0,7.286479000000002,12.181918,57.25196300000002,142.92999100000003,1.473004,221.12335500000006,10344.736671999985,2.1375445505395305
2014-12-01,0.0,8.321551000000003,6.877567000000002,56.73876000000001,159.646542,1.537423,233.121843,11229.37781999999,2.075999638954175
2015-01-01,0.0,7.930897999999999,5.2435030000000005,51.671941000000004,156.626665,1.4865940000000002,222.959601,11706.19009299999,1.9046299370563295
2015-02-01,0.0,6.937407,1.460018,42.817146000000015,146.715817,1.241129,199.171517,10665.08662100001,1.8675096047304747
2015-03-01,0.0,5.969648999999999,1.5589430000000002,41.44572600000001,157.14352200000002,1.291462,207.40930200000003,11548.527072,1.7959805671051727
2015-04-01,0.0,6.597348000000002,0.423677,44.579455,138.315515,1.173066,191.08906100000002,10026.434760000016,1.9058525345653343
2015-05-01,0.0,7.3603700000000005,5.2357700000000005,48.32533899999999,117.131699,1.1044910000000001,179.157669,10467.633692999985,1.7115393436035884
2015-06-01,0.0,7.136112000000001,18.450099,55.437674,74.16840200000001,0.9593410000000002,156.15162800000002,11254.419667000002,1.3874693908728575
2015-07-01,0.0,7.041496000000001,24.731901999999998,52.880016,64.66861,1.0228070000000002,150.344831,11907.361919000004,1.2626208225022706
2015-08-01,0.0,7.06282,22.205547,52.05851400000001,97.755052,1.101954,180.18388700000003,11130.262807999985,1.6188646225899634
2015-09-01,0.0,7.1770489999999985,23.249180999999993,49.139127,141.336027,1.338445,222.23982900000001,10550.052372999991,2.1065282061420167
2015-10-01,0.0,6.822348,24.471174000000005,52.78526600000001,148.839507,1.194045,234.11234,10722.174389000009,2.183440890871709
2015-11-01,0.0,6.945900000000001,16.025415000000002,46.10152300000001,181.584529,1.315546,251.97291300000003,10219.189481999978,2.465683931625142
2015-12-01,0.0,6.618856,11.801448,55.709236000000004,199.515556,1.441768,275.08686400000005,11909.435560999995,2.3098228508900207
2016-01-01,0.0,7.094433999999999,20.991047,48.981282,191.68043400000002,1.3304580000000001,270.07765500000005,12344.91176199999,2.1877649691377377
2016-02-01,0.0,5.978125000000001,20.074783000000007,44.663248,178.04355300000003,1.352429,250.11213800000004,11731.845100999994,2.13190794667653
2016-03-01,0.0,5.791673000000001,23.59790600000001,49.95771399999999,180.33098800000002,1.2886410000000001,260.966922,10461.475919999999,2.4945516674285866
2016-04-01,0.0,4.863356,9.754509000000002,51.32932100000001,150.337616,0.8432460000000002,217.128048,10292.000855999995,2.109677710271657
2016-05-01,0.38977512679000004,3.705488999999999,10.111052999999995,33.602574000000004,118.00943600000001,0.526226,166.34455312679,11352.133774,1.4653153005276591
2016-06-01,0.4878050046400001,4.348077999999999,16.264955,42.000082,99.973085,0.769725,163.84373000464,11810.585529999991,1.3872617033970214
2016-07-01,0.0,4.7534719999999995,9.713861999999999,40.79970600000001,126.64574999999999,1.1414600000000001,183.05425,11920.594282999993,1.535613457300987
2016-08-01,0.0,4.669962999999999,10.153201999999999,45.171673,133.766422,1.3293330000000003,195.09059299999998,10843.89746099999,1.799081867950542
2016-09-01,0.0,3.579480000000001,23.202216999999997,44.768890999999996,155.65522,1.339283,228.54509099999999,10371.534077999993,2.2035803891806887
2016-10-01,0.0,3.790704,22.219419000000002,44.676899000000006,153.006268,1.3819640000000002,225.07525400000003,9944.756208999981,2.2632556220564504
2016-11-01,0.0,4.612870000000002,15.751565999999997,45.99122799999999,156.725926,1.4469170000000002,224.528507,10119.909935,2.218680881965774
2016-12-01,0.0,4.322648,11.382416000000001,54.827855000000014,175.94383499999998,1.5136370000000003,247.990391,11767.722169999994,2.107378024544236
2017-01-01,0.0,3.3871870000000004,16.490054,56.584669000000005,167.327189,1.523446,245.31254500000003,12524.865645999987,1.9586042032981361
2017-02-01,0.0,3.2913260000000015,18.797058,41.96155900000001,145.125675,1.2409379999999999,210.416556,11074.906498999977,1.899939796503021
2017-03-01,0.0,3.950112,20.281174999999998,43.857907999999995,148.655474,1.387903,218.13257199999998,11122.231555000006,1.9612302703942388
2017-04-01,0.0,3.410116,10.222286,46.250291000000004,144.895461,1.081927,205.86008100000004,9793.758585000005,2.1019517605354565
2017-05-01,0.0,4.2296130000000005,9.041457000000001,41.507385,141.998989,1.141758,197.919202,10795.213415000002,1.8333977698392727
2017-06-01,0.0,4.150644,21.610466000000002,54.249907,94.028226,1.127623,175.166866,11359.330662000002,1.5420527072601204
2017-07-01,0.0,4.902173,27.256661,51.766332000000006,97.964515,1.155832,183.045513,11796.425756999994,1.5517031749331434
2017-08-01,0.0,6.234313,26.468942,54.228429,121.088263,1.3694790000000001,209.38942600000001,11107.250704999999,1.885159807419689
2017-09-01,0.0,6.8962460000000005,27.942098,47.25221,155.80617800000002,1.3972900000000001,239.294022,10348.584548000012,2.3123357681437358
2017-10-01,0.0,7.660919000000001,26.954255,55.17007900000001,164.513808,1.626684,255.92574500000003,10227.32931299998,2.502371217036028
2017-11-01,0.0,8.111868999999999,22.375581,55.544028000000004,158.123707,1.6422590000000001,245.797444,10345.532410999998,2.375880082678522
2017-12-01,0.0,7.829130000000001,15.175098000000002,67.444958,156.347081,1.7100190000000002,248.506286,12012.023557999995,2.068812842399856
2018-01-01,0.0,8.246613,10.699467000000002,56.153779,164.563757,1.622261,241.28587700000003,12350.18331999999,1.9537027973443897
2018-02-01,0.0,6.752102000000001,13.642629,45.749388,140.341338,1.418959,207.904416,11404.202881999998,1.8230508361803102
2018-03-01,0.0,10.099884000000001,6.633942,50.224648,127.576839,2.0160370000000003,196.55135,11247.242133000022,1.7475515124130532
2018-04-01,0.0,11.337131,6.383273000000001,59.164578,101.656873,1.7143800000000002,180.256235,10493.31458500003,1.717819794116079
2018-05-01,0.0,12.702758,19.711655,62.780575,85.473926,1.257155,181.926069,10665.461506999978,1.7057496188101933
2018-06-01,0.0,12.367982000000001,33.333127,90.840022,71.216266,1.2771810000000001,209.03457800000004,11924.097977000001,1.7530431098704484
2018-07-01,0.0,13.207464,33.866884999999996,91.467477,86.380559,3.1950900000000004,228.117475,12605.84171000001,1.8096171620101982
2018-08-01,0.0,13.567953000000001,34.785605,136.788517,93.273246,7.291765,285.707086,11709.704194000013,2.4399171940346256
2018-09-01,0.0,14.558645,20.862626000000002,175.862803,117.988825,12.259077000000001,341.53197600000004,9776.48116700001,3.493403916665057
2018-10-01,0.0,14.849698,23.546473000000002,191.25322,138.61926400000002,14.302871000000001,382.571526,9875.16096099999,3.8740788885456263
2018-11-01,0.0,14.215008000000001,22.653907999999998,224.80336100000002,142.848365,23.960569999999997,428.481212,10029.018005000004,4.272414425683343
2018-12-01,0.0,14.769567000000002,15.311586,258.778974,160.74411800000001,39.006725,488.61097000000007,10808.321175999998,4.520692548302195
