pais,country_code,anio,co2_MtCO2,poblacion,pbi_per_capita,co2_per_capita,electricity_TWh,energy_Mtoe,share_renewables,share_wind_solar,co2_per_pbi,co2_per_energy
Indonesia,IDN,2007,372.580513821,232374245.0,1860.0027631068176,1.603364063952096,142.151,182.622269247,12.903884,4.939114,0.8620224097269348,2.040170212303506
Indonesia,IDN,2008,365.007004961,235469762.0,2166.8541670002546,1.5501226223730589,149.326,185.808082318,13.315832,5.564336,0.7153793023916393,1.9644301819783663
Indonesia,IDN,2009,379.063496603,238620563.0,2261.247223745765,1.5885617393459925,156.774,199.015892036,13.233062,5.931468,0.7025157278975156,1.9046895839576026
Indonesia,IDN,2010,380.87940546699997,241834215.0,3122.3628152165043,1.5749607865330386,169.755,207.239275951,15.854025,5.515007,0.5044131254886954,1.8378726895236583
Indonesia,IDN,2011,402.49027245,245116206.0,3643.043936161025,1.6420386029065743,183.417,199.226252944,11.992891,5.112394,0.4507325828842255,2.0202672414018394
Indonesia,IDN,2012,431.19526761400004,248452413.0,3694.3489460323663,1.7355245715162364,200.03,209.09944564300002,11.236814,4.711793,0.4697781928207253,2.0621540448758005
Indonesia,IDN,2013,428.78683056799997,251806402.0,3623.911582351346,1.7028432445017818,216.02,213.961201176,12.27016,4.360244,0.4698909467865398,2.004040116671849
Indonesia,IDN,2014,466.82840979900004,255129004.0,3491.6247908576693,1.8297739672083697,227.876,225.350792915,11.4751,4.408099,0.5240465619328218,2.071563200468005
Indonesia,IDN,2015,465.828889419,258383256.0,3331.6951275862816,1.8028602032130132,233.984,225.603373083,10.651156,4.298157,0.5411240026992309,2.0648134957078876
Indonesia,IDN,2016,466.008321711,261554226.0,3562.8457564197097,1.7816891313046497,248.613,230.490350113,12.810674,4.29704,0.5000747304578974,2.021812720066307
Indonesia,IDN,2017,495.944694698,264645886.0,3836.9138138927096,1.873993592698433,255.333788027,242.250300923,13.283211,5.010275,0.4884116984627257,2.047240778683852
Indonesia,IDN,2018,522.226460033,267663435.0,3893.596077572392,1.9510564079587487,268.35613677500004,251.20561159,12.459515,5.205286,0.5010936853971786,2.078880550189862
Iran,IRN,1990,181.21640076600002,56366217.0,2214.3274920551385,3.214982491480669,59.102000000000004,69.329479423,10.292376,0.0,1.4519001832456198,2.613843379096276
Iran,IRN,1991,200.785320706,57679034.0,,3.481079809797092,64.126,76.856320495,11.003337,0.0,,2.612476363854322
Iran,IRN,1992,218.152525745,58780370.0,,3.71131596730337,68.676,80.90315666,13.876755,0.0,,2.69646494341127
Iran,IRN,1993,219.61083561499998,59723764.0,1067.30753326284,3.6771097617859447,76.20400000000001,87.106241861,12.890399,0.0,3.44522047037815,2.521183682398381
Iran,IRN,1994,248.77214407300002,60590614.0,1185.686304029614,4.105786814984248,81.878,96.701690777,9.092797,0.0,3.462793490175713,2.5725728482522996
Iran,IRN,1995,254.710099393,61442664.0,1569.2552937422247,4.145492444679808,84.98100000000001,101.20950796000001,8.576035,0.0,2.6416940960536732,2.516661769501601
Iran,IRN,1996,262.126117221,62294920.0,1932.8049845066143,4.207824927313496,90.867,97.624583437,8.134966,0.0,2.1770561236355794,2.685042107146687
Iran,IRN,1997,276.516949131,63136312.0,1804.3366774593821,4.379681681929727,97.765,109.2565881,7.087403,0.0,2.4273084600245394,2.5308949688041738
Iran,IRN,1998,280.059955846,63971836.0,1723.835366590682,4.377863343581384,103.464,111.266786483,6.804299,0.0,2.5396064081454077,2.5170130701023634
Iran,IRN,1999,305.88754035000005,64800880.0,1756.8966669642589,4.720422629291455,112.657,126.227582012,4.440914,0.031068,2.6867958247355954,2.423301908143344
Iran,IRN,2000,320.02556391,65623405.0,1670.0094699784852,4.876698548482817,121.383,123.029440623,3.049027,0.030482,2.9201622123410136,2.6012112408984827
Iran,IRN,2001,335.420523656,66449112.0,1909.4122777135306,5.047780377501509,130.199,133.479963295,3.925529,0.026114,2.6436304178090277,2.5128904397036527
Iran,IRN,2002,350.667132392,67284796.0,1911.6787915017164,5.21168455934681,141.081,138.062743962,5.752015,0.021264,2.726234439862556,2.5399113644193294
Iran,IRN,2003,365.501115886,68122938.0,2253.9361322823465,5.36531639146274,153.87800000000001,142.674874827,7.229753,0.017546,2.380420773515794,2.5617763206674424
Iran,IRN,2004,394.84770441800003,68951281.0,2756.1987421936565,5.726473804279286,166.918,155.597397837,6.394757,0.028158,2.077670857552743,2.5376240856651906
Iran,IRN,2005,426.97722587199996,69762347.0,3246.0510293832594,6.120453858468953,178.088,172.67749654,9.080342,0.039868,1.8855075915525032,2.472685986463167
Iran,IRN,2006,460.27224396599996,70554760.0,3774.357841499914,6.523617172902296,192.68200000000002,180.465325099,9.544742,0.064874,1.728404525181385,2.550474689326068
