anio,provincia,region,fuente_energia,energia_gwh
2017,SANTIAGO DEL ESTERO,NOROESTE,HIDRO <=50MW,153.970537
2018,SANTIAGO DEL ESTERO,NOROESTE,EOLICO,14.738799
2018,SANTIAGO DEL ESTERO,NOROESTE,HIDRO <=50MW,115.74093100000002
2011,TUCUMAN,NOROESTE,BIOMASA,8.270237999999999
2011,TUCUMAN,NOROESTE,HIDRO <=50MW,166.921931
2012,TUCUMAN,NOROESTE,BIOMASA,4.673353
2012,TUCUMAN,NOROESTE,HIDRO <=50MW,158.883198
2013,TUCUMAN,NOROESTE,BIOMASA,6.006989000000001
2013,TUCUMAN,NOROESTE,HIDRO <=50MW,96.322163
2014,TUCUMAN,NOROESTE,BIOMASA,11.764417000000003
2014,TUCUMAN,NOROESTE,HIDRO <=50MW,163.856788
2015,TUCUMAN,NOROESTE,BIOMASA,20.32475
2015,TUCUMAN,NOROESTE,HIDRO <=50MW,218.54803500000003
2016,TUCUMAN,NOROESTE,BIOMASA,17.261252
2016,TUCUMAN,NOROESTE,HIDRO <=50MW,237.95951
2017,TUCUMAN,NOROESTE,BIOMASA,15.334964
2017,TUCUMAN,NOROESTE,HIDRO <=50MW,153.806146
2018,TUCUMAN,NOROESTE,BIOMASA,14.20063
2018,TUCUMAN,NOROESTE,HIDRO <=50MW,167.810047
